id,Class,Community,Subclass,text
UghwVK4wTfTAg3gCoAEC,counterspeech,lgbt,Pointing out hypocrisy or contradictions,Wait...his literally against Jesus. He is literally preaching against Jesus...wow. This is what people of my faith have become b
UgwYHrnolHxFvpaFP_B4AaABAg,noncounter,lgbt,Default,He stood his ground against this guy who is just looking to keep his ratings
UgiCq69cA3AvtngCoAEC,counterspeech,lgbt,Affiliation,could everyone just shut up?  I'm gay and I'm a Christian. and I will go to hell. so what. Im gonna make the best out of my life. I only have one life.
UgiwbJfIgItEVHgCoAEC,noncounter,jews,Default,"at 6 mins.. ""appearently this man has some DISTURBING oppinions""..... WHAT?? this show is fucking jewish shit itself.. ROFL."
UgwQagPl42b6L0Picd14AaABAg,counterspeech,jews,"Warning of offline or online consequences, 9","WWYD scenarios wouldn't want me in these hidden camera scenarios, because I would have bitch slapped the guy even though he's a actor."
Ugxr5EaV-rtwZxaazex4AaABAg,counterspeech,black,Affiliation,Being black is hell on Earth
UgiS6kmjv-2nUHgCoAEC,counterspeech,lgbt,Positive tone,turd snifters? turd eaters? I am the toilet flusher? Best comedian ever!
UgxC5x32IfP87JOmqFJ4AaABAg,noncounter,jews,Default,"@angelicvoice2012 
when jews had many prophets among them, they killed most of them. if i kill your childrens one by one, what would you do? what happened to the people of Noah, Lot and the others? they were cursed and destroyed by god! know the fact bro. we dont curse but invite to the truth."
UgyBS5GjAja4O500a5t4AaABAg,noncounter,jews,Default,"I CHALLENGE you to show me where in the Qur'an it says to worship any other but the ONE creator, and if you cannot, I pray that the ONE creator will curse you for your lie against him."
Ugi9nIDY1TzNxHgCoAEC,counterspeech,jews,Hostile language,I think religion is a bad thing. But that doesn't mean everyone who practices it is part of a crazy global agenda.Most of them are pretty nice.
Ugx5XdbR_Mv7-AH_0Gl4AaABAg,counterspeech,black,Hostile language,Im in School right now and Im crying
UghelN2KIEJ60XgCoAEC,counterspeech,jews,9,That racist clerk is it actor that was his character a Hitler's little boy
UggnjgAK9lLp0ngCoAEC,counterspeech,jews,Denouncing hateful or dangerous speech,MUSLIMS HATE JEWS BECAUSE OF THEIR CONFLICT WITH ISRAEL. ISRAEL as a nation WAS NOT EXISTING AT THE TIME OF ISLAM/QURAN. ITS NOT THE ALLAH that cursed jews. IT IS THE PERSON WHO HAS WRITTEN THE BOOKS or  MODIFIED QURAN...  GOD/ALLAH is merciful why should he hate such a mass group of jews?. Dr. ZAKIR IS SPREADING HATRED IN THE NAME OF ALLAH.
Ugyh6FnDJs-GthRRH3B4AaABAg,counterspeech,black,9,Latoya is like the white girl of the black people
UgiAY-NpV3jHPXgCoAEC,noncounter,black,Default,"I'm sorry we highlight the worse things in an honorable field of work here's some statistics.
43 percent shot were white 
23 percent shot were black
17 percent shot were Hispanic 
3 percent shot were of other qualification 
13 percent were unknown  
Not enough for you? 
Around 82 percent of blacks were armed with a gun or knife (this also includes the nine blacks with a vehicle, but does not include a toy weapon, other, or unknown.). While only 6 percent of blacks shot were unarmed. The whites had 83 percent armed, mind you this is an increase over Blacks, but out of the whites shot 19 percent were unarmed. 
There's some statistics I've calculated accordingly to the Washington post website. 
Would you like to go back to the way cops used to be? 
Back when all they had was a baton and revolver? 
Or would you rather stay like this where they have many nonlethal options? 
Or disband cops completely? Go ahead disband the cops. Let's see how you like to get robbed, murdered, raped, and assaulted without anyone there to protect you. 
Disarm the cops? Fine let's just go ahead and send out the men and women protecting you to fight criminals armed with guns and bullets, let's see that number of cops die per year rise. The ones who make it their life to protect their people. Let's take the few crooked ones and make them the stars of a truly honorable profession."
Ugi6rZEx0tSzpHgCoAEC,noncounter,jews,Default,"Here are a few excerpts from the sick and twisted Jewish Talmud. The Talmud is Judaism's holiest book. Its Authority takes precedence over the Old Testament in Judaism.
Libbre David 37:
""To communicate anything to a Gentile ( a non Jew) about our religious relations would be equal to the killing of all Jews, for if the Gentile knew what we teach about them, they would kill us openly"".
Baba Mezia 24 A.
""If a Jew finds an object lost by a Gentile it does have to be returned""
(Confirmed in Baba Kamma 113B also)
Sanhedrin 57A
""When a Jew murders a gentile, there will be no death penalty; What a Jew steals from a gentile he may keep.""
Schulchan Aruch, Choszen Hamiszpat 348
""All Property of other nations belongs to the Jewish nation, which, consequently, is entitled to seize upon it without any scruples.""
Tosefta, Abda Zara VIII, 5
""A Gentile is forbidden to steal, rob, or take women slaves, etc, from a gentile or from a Jew. But A Jew is NOT forbidden to do all this to a Gentile""
Schulchan Aruch, Choszen Hamiszpat 156
""For the property of a Gentile, according to our law, belongs to no one, and the first Jew that passes has full right to seize it.""
(Remember how they steal, and continue to steal Palestinian land?)
(Remember how they robbed the banks of America?)
Yebamoth 98A
""All Gentile children are animals""
Abodah Zarah 36B
""Gentile girls are in a state of filth from birth.""
Sanhedrin 57A
""A Jew need not pay a Gentile the wages owed him for work""
Seph. Jp, 92, 1
""God has given the Jews power over the possessions and blood of ALL nations""
Midrasch Talpioth, P225-L
""Jehovah created the non Jew in human form so that the Jew would not have to be served by beasts. The non Jew is an animal in human form, and commanded to serve the Jew day and night.""
Hadarine, 20B
""A Jew may do to a non Jewess what he can do. he may treat her as he treats a peice of meat
Baba Kamma 113A
""Jews may use lies to circumvent a Gentile""
Sanhedrin 58B
""If a Gentile even hits a Jew the Gentile must be killed""
Tosapoth, Jebamoth 94B
""If you eat with a Gentile, it is the same as eating with a dog""
Sanhedrin 59A
""Murdering Gentiles is like killing a wild animal""
Abodah Zara 26B
""Even the best of Gentiles should be killed""
Hilkkoth Akum X1
""Do not save Gentiles in danger of death""
Abodah Zara, 4B
""A Gentile you may kill outright with your own hands.""
""Show no mercy to the Gentiles""
Bammidber Raba C21
""Every Jew, who spills the blood of the non Jews, is doing the same as making a sacrifice to God""
Sanhedrin 55B
""A Jew may have sex with a three year old girl and she will regain her virginity""
Sanhedrin 54B
""A Jew may have sex with a child as long as the child is LESS than nine years old.""
Kethuboth 11B
""When a grown man has intercourse with a little girl it is nothing""
No wonder these sick and evil savages have been kicked out of 109 countries in the last 250 or so years. No wonder people try and wipe them off the face of the Earth."
UghreKJ_Roe6Z3gCoAEC,counterspeech,lgbt,Positive tone,This guy is very gay.
UggOWu4n3tTO-ngCoAEC,counterspeech,black,9,"POWERFUL ""WHITE POLICE OFFICER  INCREDIBLE PURE EVIL DISTURBING HORRIBLE DEVIL ABSOLUTELY RIGHT. ●CASTANO BROWN FAMILY BLACK WAKE-UP 💜DAPHNE COTTON."
Ugz58y4O4SCrXiDpvOV4AaABAg,noncounter,jews,Default,@ezcape08  we do believe in esaah aka jesus but we dont believe that hes son of god
UgxIoJfRTqNqslO1Y0N4AaABAg,counterspeech,jews,9,fool read the quran without SATAN MIND
UggVWLjmMuAYpngCoAEC,counterspeech,jews,"Affiliation, Hostile language","I'm Jewish 
And I'm really glad there some people that stand up for us
And I have no problems with Muslims 
We're all brothers and sisters"
UghHOtykHCLoRngCoAEC,counterspeech,jews,Pointing out hypocrisy or contradictions,If bribery in Islam is not allowed then why was Naik convicted of paying people to convert to Islam. Even Mohamed used to bribe enemies he wanted to convert..
UgjC0XoMMeaIFngCoAEC,counterspeech,lgbt,9,"There is no doubt in my mind that Kirk Cameron has had gay sex, and wishes he could openly be part of a gay relationship. His over-the-top involvement in the anti-gay crusade is very suspicious. What does he care?"
UgzEfiJHXA9S1zMLLKN4AaABAg,noncounter,lgbt,Default,god i hate butch women theyre a discrace to humanity
UgyrCqHCnSaMM93geCd4AaABAg,counterspeech,lgbt,Denouncing hateful or dangerous speech,Its ok people! We need these fucking nut cases as you can see by the dislikes that he is building and helping the human race to realize that all this religion stuff is crap and soon with the help of this hateful bigot and the millions like him in the church will be all gone and the human race can move forward without bronze age bullshit!
UgzeTZP5UdBBiuD_W8t4AaABAg,counterspeech,jews,9,"That frugging old anti semetic guy is a real DUROK.... and i say this to him: ""blet te! Te bolshoy suka malchik"""
UgxAJTM1VhKIM7ze9R94AaABAg,noncounter,jews,Default,"Am sorry but the first compilation and written form of the Quran was made by the scribe Zayd bin Thabit; a literate man who was with last messenger of God; Prophet Muhammad(pbuh) when he made the whole recitation of the Quran; twice.
He was a haafiz (memoriser of the whole Quran) as well and before doing the compilation; some steps were followed like:-"
UghCzmcdDDz-xHgCoAEC,noncounter,jews,Default,"Bottom line is Jews hate Jesus and Christians and just like the Muslims they are anti-Christ...except Jews through the Scofield bible have convinced Christians to support Israel...but Israel doesn't support Christians as a matter of fact if a Christian wanted to migrate to Israel they would have to denounce Christ and convert to Judaism before moving there. This girl is being investigated for hate crimes against a group of people that hate us all and have no belief in absolute truth as taught in the bible...just like Jesus said about them, they are children of the Devil...and the media has brainwashed you into supporting them...just like they have brainwashed you into supporting homosexuality and Islam and illegal immigration...all these things lead to your destruction yet you have been convinced to fully support and even fight for your own oppression."
UgwTr-f3Hn2oQZwKNEx4AaABAg,noncounter,jews,Default,"if u read histroy of judizim you will understand why jewish cursed
in mny time becoz they should learn from their mistakeer 
every time they punished look back from time  noah bpuh , latate in time moses , in time faroa in time Nazi germany , next God knows what happen for these poeple this is the time to learn from there Mistakes"
UgwBRXQRCFqGi9fzY8x4AaABAg,counterspeech,lgbt,"Denouncing hateful or dangerous speech, Warning of offline or online consequences","Sick.  And the people in his congregation agreeing with him are even sicker.  I hope somebody's called the cops on this waste of skin for inciting people to commit violence against minors.  I'm not a Christian but I'd like to know what part of ""Suffer little children to come unto me for theirs is the kingdom of heaven"" this paranoid homophobic monster doesn't get."
UghPKH_jvEJ5RngCoAEC,noncounter,jews,Default,I also must say jewish ladies are sexy and I would def marry one ;)
UgxreCRWMDwj62F5SxR4AaABAg,noncounter,black,Default,"I think this girl goes to my school..
Or maybe they just look exactly the same. The girl I know just bullies everyone for no reason."
UgzkSlIM_JGij2Dhl5x4AaABAg,counterspeech,black,Warning of offline or online consequences,"So, when we tell our children to always do the right thing.......we don't tell them that they might get arrested for it!"
Ugj_mLRz2bjZs3gCoAEC,counterspeech,lgbt,Positive tone,Not nearly as unnatural as Kirk and his acting.
UgjF1XxHCqWZjXgCoAEC,noncounter,lgbt,Default,"You are all invited to the eternal barbeque... Christ lives, do you?"
Ugiy_sgzP3zmIXgCoAEC,counterspeech,lgbt,Pointing out hypocrisy or contradictions,"What kind of priest is he if he would rather Jenner go to hell then find Jesus?
I can (more or less) understand why you wouldn't want to praise Jenner for what he has done, but to judge him in such a cruel way surely goes against the teaching of Christ doesn't it?"
UgwIEFGNSJ7IvM6pJRJ4AaABAg,noncounter,black,Default,"White person: ""Why can't I wear cornrows and use slang? It's cool and shows I'm open minded and respect black culture. After all black women straighten their hair and black men wear Italian suits. Is that not appropriation?"" 
Black person:"" Uhh because not too long ago you were saying how retarded black people look/act. You chalked up black slang as a sign of speaking improperly/dumb and you've banned natural hair from many professional environments. You say black people need to assimilate into white mainstream culture to be respectable. Now after the fact, you're trying give credit to Kim Kardashian for popularizing big butts, when a black woman named Josephine Baker was kept in a fucking zoo for her butt and tormented,give Eminem title of the best rapper, give Kyle Jennifer credit for making big lips and braids popular, trying to make all of fucking Egypt white, and so on. You say blacks are inferior yet take credit for the stuff we either embrace (curvy, big lips) or created/dominated (rap/sports)"""
